continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,population_density,median_age,gdp_per_capita,life_expectancy,human_development_index,population,death_rate,vaccination_rate,fully_vaccinated_rate
South America,Brazil,2020-03-19,291.0,57.0,1.0,1.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,0.3436426116838488,,
South America,Brazil,2020-03-20,428.0,137.0,4.0,3.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,0.9345794392523363,,
South America,Brazil,2020-03-21,428.0,0.0,4.0,0.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,0.9345794392523363,,
South America,Brazil,2020-03-22,904.0,476.0,11.0,7.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,1.2168141592920354,,
South America,Brazil,2020-03-23,904.0,0.0,11.0,0.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,1.2168141592920354,,
South America,Brazil,2020-03-24,1546.0,642.0,25.0,14.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,1.6170763260025873,,
South America,Brazil,2020-03-25,1891.0,345.0,34.0,9.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,1.7979904812268643,,
South America,Brazil,2020-03-26,2201.0,310.0,46.0,12.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,2.0899591094956835,,
South America,Brazil,2020-03-27,2433.0,232.0,57.0,11.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,2.342786683107275,,
South America,Brazil,2020-03-28,2915.0,482.0,77.0,20.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,2.6415094339622645,,
South America,Brazil,2020-03-29,3417.0,502.0,92.0,15.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,2.692420251682763,,
South America,Brazil,2020-03-30,3903.0,486.0,114.0,22.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,2.9208301306687163,,
South America,Brazil,2020-03-31,4256.0,353.0,136.0,22.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.195488721804511,,
South America,Brazil,2020-04-01,4579.0,323.0,159.0,23.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.4723738807599913,,
South America,Brazil,2020-04-02,5717.0,1138.0,201.0,42.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.5158299807591393,,
South America,Brazil,2020-04-03,6836.0,1119.0,241.0,40.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.5254534815681686,,
South America,Brazil,2020-04-04,7910.0,1074.0,299.0,58.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.7800252844500637,,
South America,Brazil,2020-04-05,9056.0,1146.0,359.0,60.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.964222614840989,,
South America,Brazil,2020-04-06,10278.0,1222.0,432.0,73.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.203152364273205,,
South America,Brazil,2020-04-07,11130.0,852.0,486.0,54.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.366576819407008,,
South America,Brazil,2020-04-08,12056.0,926.0,553.0,67.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.586927670869277,,
South America,Brazil,2020-04-09,13717.0,1661.0,667.0,114.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.862579281183932,,
South America,Brazil,2020-04-10,15927.0,2210.0,800.0,133.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.0229170590820615,,
South America,Brazil,2020-04-11,17857.0,1930.0,941.0,141.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.269642157137257,,
South America,Brazil,2020-04-12,19638.0,1781.0,1056.0,115.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.377329666972197,,
South America,Brazil,2020-04-13,20727.0,1089.0,1124.0,68.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.422878371206639,,
South America,Brazil,2020-04-14,22169.0,1442.0,1223.0,99.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.51671252650097,,
South America,Brazil,2020-04-15,23430.0,1261.0,1328.0,105.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.66794707639778,,
South America,Brazil,2020-04-16,25262.0,1832.0,1532.0,204.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.064444620378434,,
South America,Brazil,2020-04-17,28320.0,3058.0,1736.0,204.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.129943502824859,,
South America,Brazil,2020-04-18,30425.0,2105.0,1924.0,188.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.323746918652424,,
South America,Brazil,2020-04-19,33682.0,3257.0,2141.0,217.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.356510896027552,,
South America,Brazil,2020-04-20,36599.0,2917.0,2347.0,206.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.412743517582448,,
South America,Brazil,2020-04-21,38654.0,2055.0,2462.0,115.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.369327883272106,,
South America,Brazil,2020-04-22,40581.0,1927.0,2575.0,113.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.345334023311403,,
South America,Brazil,2020-04-23,43079.0,2498.0,2741.0,166.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.362728939854685,,
South America,Brazil,2020-04-24,45757.0,2678.0,2906.0,165.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.350940839652949,,
South America,Brazil,2020-04-25,49492.0,3735.0,3313.0,407.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.6940111533177085,,
South America,Brazil,2020-04-26,52995.0,3503.0,3670.0,357.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.925181620907633,,
South America,Brazil,2020-04-27,58509.0,5514.0,4016.0,346.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.863901280144935,,
South America,Brazil,2020-04-28,61888.0,3379.0,4205.0,189.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.7945320579110655,,
South America,Brazil,2020-04-29,66501.0,4613.0,4543.0,338.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.831476218402731,,
South America,Brazil,2020-04-30,71886.0,5385.0,5017.0,474.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.979105806415714,,
South America,Brazil,2020-05-01,78162.0,6276.0,5466.0,449.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.993168035618331,,
South America,Brazil,2020-05-02,85380.0,7218.0,5901.0,435.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.911454673225579,,
South America,Brazil,2020-05-03,91589.0,6209.0,6329.0,428.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.910218476017863,,
South America,Brazil,2020-05-04,96559.0,4970.0,6750.0,421.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.990544641100261,,
South America,Brazil,2020-05-05,101147.0,4588.0,7025.0,275.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.945336984784521,,
South America,Brazil,2020-05-06,107780.0,6633.0,7321.0,296.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.792540359992577,,
South America,Brazil,2020-05-07,114715.0,6935.0,7921.0,600.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.904938325415159,,
South America,Brazil,2020-05-08,125218.0,10503.0,8536.0,615.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.816911306681147,,
South America,Brazil,2020-05-09,135106.0,9888.0,9146.0,610.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.7694995040930825,,
South America,Brazil,2020-05-10,145328.0,10222.0,9897.0,751.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.810112297698997,,
South America,Brazil,2020-05-11,155939.0,10611.0,10627.0,730.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.814844266027101,,
South America,Brazil,2020-05-12,162699.0,6760.0,11123.0,496.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.836550931474686,,
South America,Brazil,2020-05-13,168331.0,5632.0,11519.0,396.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.843065151398138,,
South America,Brazil,2020-05-14,177589.0,9258.0,12400.0,881.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.982414451345523,,
South America,Brazil,2020-05-15,188974.0,11385.0,13149.0,749.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.9581000560923725,,
South America,Brazil,2020-05-16,202918.0,13944.0,13993.0,844.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.895888979784938,,
South America,Brazil,2020-05-17,218223.0,15305.0,14817.0,824.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.78984341705503,,
South America,Brazil,2020-05-18,233142.0,14919.0,15633.0,816.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.705355534395347,,
South America,Brazil,2020-05-19,241080.0,7938.0,16118.0,485.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.685747469719596,,
South America,Brazil,2020-05-20,254220.0,13140.0,16792.0,674.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.605302493902919,,
South America,Brazil,2020-05-21,271628.0,17408.0,17971.0,1179.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.616033693139147,,
South America,Brazil,2020-05-22,291579.0,19951.0,18859.0,888.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.467886919153985,,
South America,Brazil,2020-05-23,310087.0,18508.0,20047.0,1188.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.46495983385308,,
South America,Brazil,2020-05-24,330890.0,20803.0,21048.0,1001.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.361026322947202,,
South America,Brazil,2020-05-25,347398.0,16508.0,22013.0,965.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.336536191918203,,
South America,Brazil,2020-05-26,363211.0,15813.0,22666.0,653.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.240449766113912,,
South America,Brazil,2020-05-27,374898.0,11687.0,23473.0,807.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.261169704826379,,
South America,Brazil,2020-05-28,391222.0,16324.0,24512.0,1039.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.265496316669308,,
South America,Brazil,2020-05-29,411821.0,20599.0,25598.0,1086.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.215807353194713,,
South America,Brazil,2020-05-30,438238.0,26417.0,26754.0,1156.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,6.104901902619124,,
South America,Brazil,2020-05-31,465166.0,26928.0,27878.0,1124.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.993129334474145,,
South America,Brazil,2020-06-01,498440.0,33274.0,28834.0,956.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.784848728031458,,
South America,Brazil,2020-06-02,514849.0,16409.0,29314.0,480.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.6937082523225255,,
South America,Brazil,2020-06-03,526447.0,11598.0,29937.0,623.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.686612327546743,,
South America,Brazil,2020-06-04,555383.0,28936.0,31199.0,1262.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.617564815631735,,
South America,Brazil,2020-06-05,584016.0,28633.0,32548.0,1349.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.573134982603216,,
South America,Brazil,2020-06-06,614941.0,30925.0,34021.0,1473.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.532400669332505,,
South America,Brazil,2020-06-07,645771.0,30830.0,35026.0,1005.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.423904139393067,,
South America,Brazil,2020-06-08,672846.0,27075.0,35930.0,904.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.340003507489084,,
South America,Brazil,2020-06-09,691758.0,18912.0,36455.0,525.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.269906528005459,,
South America,Brazil,2020-06-10,707412.0,15654.0,37134.0,679.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.249274821461892,,
South America,Brazil,2020-06-11,739503.0,32091.0,38406.0,1272.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.1934880588719725,,
South America,Brazil,2020-06-12,772416.0,32913.0,39680.0,1274.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.137128179633772,,
South America,Brazil,2020-06-13,802828.0,30412.0,40919.0,1239.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.096857608354467,,
South America,Brazil,2020-06-14,828810.0,25982.0,41828.0,909.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.046753779515209,,
South America,Brazil,2020-06-15,850514.0,21704.0,42720.0,892.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,5.022845009018076,,
South America,Brazil,2020-06-16,867624.0,17110.0,43332.0,612.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.994329340820448,,
South America,Brazil,2020-06-17,888271.0,20647.0,43959.0,627.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.948827553753303,,
South America,Brazil,2020-06-18,923189.0,34918.0,45241.0,1282.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.900513329339929,,
South America,Brazil,2020-06-19,955377.0,32188.0,46510.0,1269.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.86823526210072,,
South America,Brazil,2020-06-20,978142.0,22765.0,47748.0,1238.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.881499823134065,,
South America,Brazil,2020-06-21,1032913.0,54771.0,48954.0,1206.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.739411741356727,,
South America,Brazil,2020-06-22,1067579.0,34666.0,49976.0,1022.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.681246071719283,,
South America,Brazil,2020-06-23,1085038.0,17459.0,50617.0,641.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.664997907907373,,
South America,Brazil,2020-06-24,1106470.0,21432.0,51271.0,654.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.6337451535061955,,
South America,Brazil,2020-06-25,1145906.0,39436.0,52645.0,1374.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.594181372643131,,
South America,Brazil,2020-06-26,1188631.0,42725.0,53830.0,1185.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.5287393648659675,,
South America,Brazil,2020-06-27,1228114.0,39483.0,54971.0,1141.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.476050268948974,,
South America,Brazil,2020-06-28,1274974.0,46860.0,55961.0,990.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.389187544216588,,
South America,Brazil,2020-06-29,1313667.0,38693.0,57070.0,1109.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.344327748204073,,
South America,Brazil,2020-06-30,1344143.0,30476.0,57622.0,552.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.286895069944195,,
South America,Brazil,2020-07-01,1368195.0,24052.0,58314.0,692.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.262111760385033,,
South America,Brazil,2020-07-02,1402041.0,33846.0,59594.0,1280.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.250517638214575,,
South America,Brazil,2020-07-03,1448753.0,46712.0,60632.0,1038.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.185116441519017,,
South America,Brazil,2020-07-04,1496858.0,48105.0,61884.0,1252.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.134259896396318,,
South America,Brazil,2020-07-05,1539081.0,42223.0,63174.0,1290.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.10465725975436,,
South America,Brazil,2020-07-06,1577004.0,37923.0,64265.0,1091.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.075132339550185,,
South America,Brazil,2020-07-07,1603055.0,26051.0,64867.0,602.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.046461287978267,,
South America,Brazil,2020-07-08,1623284.0,20229.0,65487.0,620.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,4.034229376991334,,
South America,Brazil,2020-07-09,1668589.0,45305.0,66741.0,1254.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.9998465769581366,,
South America,Brazil,2020-07-10,1713160.0,44571.0,67964.0,1223.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.967171776132994,,
South America,Brazil,2020-07-11,1755779.0,42619.0,69184.0,1220.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.940359236555398,,
South America,Brazil,2020-07-12,1800827.0,45048.0,70398.0,1214.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.9092039379685,,
South America,Brazil,2020-07-13,1839850.0,39023.0,71469.0,1071.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.884501453922874,,
South America,Brazil,2020-07-14,1864681.0,24831.0,72100.0,631.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.866613109695439,,
South America,Brazil,2020-07-15,1884967.0,20286.0,72833.0,733.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.863887272297075,,
South America,Brazil,2020-07-16,1926824.0,41857.0,74133.0,1300.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.8474193802859005,,
South America,Brazil,2020-07-17,1966748.0,39924.0,75366.0,1233.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.832011015137679,,
South America,Brazil,2020-07-18,2012151.0,45403.0,76688.0,1322.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.811244782324984,,
South America,Brazil,2020-07-19,2046328.0,34177.0,77851.0,1163.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.8044243151635513,,
South America,Brazil,2020-07-20,2074860.0,28532.0,78772.0,921.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.7964971130582303,,
South America,Brazil,2020-07-21,2098389.0,23529.0,79488.0,716.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.78804883174664,,
South America,Brazil,2020-07-22,2118646.0,20257.0,80120.0,632.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.7816605511255776,,
South America,Brazil,2020-07-23,2159654.0,41008.0,81487.0,1367.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.77315069913977,,
South America,Brazil,2020-07-24,2227514.0,67860.0,82771.0,1284.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.715846454837096,,
South America,Brazil,2020-07-25,2287475.0,59961.0,84082.0,1311.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.6757560191914664,,
South America,Brazil,2020-07-26,2343366.0,55891.0,85238.0,1156.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.6374172877817634,,
South America,Brazil,2020-07-27,2394513.0,51147.0,86449.0,1211.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.6102957052227325,,
South America,Brazil,2020-07-28,2419091.0,24578.0,87004.0,555.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.596557549922678,,
South America,Brazil,2020-07-29,2442375.0,23284.0,87618.0,614.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.5874097957930293,,
South America,Brazil,2020-07-30,2483191.0,40816.0,88539.0,921.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.565533219152292,,
South America,Brazil,2020-07-31,2552265.0,69074.0,90134.0,1595.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.5315298372230157,,
South America,Brazil,2020-08-01,2610102.0,57837.0,91263.0,1129.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.496530020665859,,
South America,Brazil,2020-08-02,2662485.0,52383.0,92475.0,1212.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.4732590042760805,,
South America,Brazil,2020-08-03,2707877.0,45392.0,93563.0,1088.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.455216023475217,,
South America,Brazil,2020-08-04,2733677.0,25800.0,94104.0,541.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.442396449909774,,
South America,Brazil,2020-08-05,2750318.0,16641.0,94665.0,561.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.441965619975581,,
South America,Brazil,2020-08-06,2801921.0,51603.0,95819.0,1154.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.419760942581893,,
South America,Brazil,2020-08-07,2859073.0,57152.0,97256.0,1437.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.401662007231015,,
South America,Brazil,2020-08-08,2912212.0,53139.0,98493.0,1237.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.382068338431406,,
South America,Brazil,2020-08-09,2962442.0,50230.0,99572.0,1079.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.361145973490789,,
South America,Brazil,2020-08-10,3012412.0,49970.0,100477.0,905.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.335433532996151,,
South America,Brazil,2020-08-11,3035422.0,23010.0,101049.0,572.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.328993464500159,,
South America,Brazil,2020-08-12,3057470.0,22048.0,101752.0,703.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.3279803236008854,,
South America,Brazil,2020-08-13,3109630.0,52160.0,103026.0,1274.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.313127285239723,,
South America,Brazil,2020-08-14,3164785.0,55155.0,104201.0,1175.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.2925143414165574,,
South America,Brazil,2020-08-15,3224876.0,60091.0,105463.0,1262.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.2702962842602323,,
South America,Brazil,2020-08-16,3275520.0,50644.0,106523.0,1060.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.25209432395467,,
South America,Brazil,2020-08-17,3317096.0,41576.0,107232.0,709.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.2327071631330537,,
South America,Brazil,2020-08-18,3340197.0,23101.0,107852.0,620.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.2289113486420113,,
South America,Brazil,2020-08-19,3359570.0,19373.0,108536.0,684.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.23065154171516,,
South America,Brazil,2020-08-20,3407354.0,47784.0,109888.0,1352.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.225024461796456,,
South America,Brazil,2020-08-21,3456652.0,49298.0,111100.0,1212.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.214092711675922,,
South America,Brazil,2020-08-22,3501975.0,45323.0,112304.0,1204.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.2068761199037685,,
South America,Brazil,2020-08-23,3532330.0,30355.0,113358.0,1054.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.2091565623823373,,
South America,Brazil,2020-08-24,3582362.0,50032.0,114250.0,892.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.189236598646368,,
South America,Brazil,2020-08-25,3605783.0,23421.0,114744.0,494.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.18222144815703,,
South America,Brazil,2020-08-26,3622861.0,17078.0,115309.0,565.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.1828160119861075,,
South America,Brazil,2020-08-27,3669995.0,47134.0,116580.0,1271.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.17657108524671,,
South America,Brazil,2020-08-28,3717156.0,47161.0,117665.0,1085.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.1654576778590946,,
South America,Brazil,2020-08-29,3761391.0,44235.0,118649.0,984.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.154391553550269,,
South America,Brazil,2020-08-30,3804803.0,43412.0,119504.0,855.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.1408722081011815,,
South America,Brazil,2020-08-31,3846153.0,41350.0,120462.0,958.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.1320126890427917,,
South America,Brazil,2020-09-01,3862311.0,16158.0,120828.0,366.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.1283860880182877,,
South America,Brazil,2020-09-02,3908272.0,45961.0,121381.0,553.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.1057459665038665,,
South America,Brazil,2020-09-03,3950931.0,42659.0,122596.0,1215.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.1029648455009715,,
South America,Brazil,2020-09-04,3997865.0,46934.0,123780.0,1184.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.0961525714350033,,
South America,Brazil,2020-09-05,4041638.0,43773.0,124614.0,834.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.083254858549924,,
South America,Brazil,2020-09-06,4092832.0,51194.0,125521.0,907.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.0668495555155943,,
South America,Brazil,2020-09-07,4123000.0,30168.0,126203.0,682.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.0609507640067912,,
South America,Brazil,2020-09-08,4137521.0,14521.0,126650.0,447.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.061011654079822,,
South America,Brazil,2020-09-09,4147794.0,10273.0,126960.0,310.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.0609041818373814,,
South America,Brazil,2020-09-10,4162073.0,14279.0,127464.0,504.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.062512358625137,,
South America,Brazil,2020-09-11,4197889.0,35816.0,128539.0,1075.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.0619913961517327,,
South America,Brazil,2020-09-12,4238446.0,40557.0,129522.0,983.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.0558841613176146,,
South America,Brazil,2020-09-13,4282164.0,43718.0,130396.0,874.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.0450958907692467,,
South America,Brazil,2020-09-14,4315687.0,33523.0,131210.0,814.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.0403038959961646,,
South America,Brazil,2020-09-15,4330455.0,14768.0,131625.0,415.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.0395189420049396,,
South America,Brazil,2020-09-16,4345610.0,15155.0,132006.0,381.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.0376863087115504,,
South America,Brazil,2020-09-17,4382263.0,36653.0,133119.0,1113.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.0376771088362338,,
South America,Brazil,2020-09-18,4419083.0,36820.0,134106.0,987.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.034701995866563,,
South America,Brazil,2020-09-19,4455386.0,36303.0,134935.0,829.0,,,,25.04,33.5,14103.452,75.88,0.765,215313504.0,3.0285815864214682,,
